Raw Fertilizer (lbs/hr),"Delayed Fertilizer, sigma_F=300 (lbs/hr)","Delayed Fertilizer, sigma_F=200 (lbs/hr)","Delayed Fertilizer, sigma_F=100 (lbs/hr)"
0,0.01709871,0.020177549777675163,0.030376394361539025
0,0.017101382,0.020183985808866187,0.030404741
0,0.017104053464967343,0.020190424802268406,0.030433113331742673
0,0.017106726,0.020196867,0.030461510367425927
0,0.017109399757187026,0.020203312,0.030489932411112468
0,0.017112074114531715,0.020209759545646383,0.030518379443379755
0,0.017114749279091367,0.020216210377781686,0.030546851444697723
0,0.017117425,0.020222664,0.030575348395428692
0,0.017120102,0.020229120912446913,0.030603870275827262
0,0.01712278,0.020235580612925953,0.030632417066040234
0,0.017125458005339055,0.020242043267463386,0.030660989
0,0.017128137202864577,0.020248509,0.030689585295957042
0,0.017130817,0.020254977434576715,0.030718206695414654
0,0.017133498015612085,0.020261449,0.030746852924194053
0,0.01713618,0.020267923405481617,0.030775523961901686
