Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0,382,22.6
0,519,24.3
0,515,26.1
0,148,27.3
0,1327,28.3
0,1395,29.3
0,1518,29.7
0,1102,29.6
0,1240,29.4
0,355,29
0,290,28.5
0,408,28.2
0,602,26.4
0,131,25.1
0,0,24.3
0,0,23.9
0,0,23.6
0,0,23.2
0,0,22.5
0,0,21.8
0,0,21.2
0,0,21
0,0,21.6
0,20,23
0,285,24.3
0,302,25.7
0,1339,27.1
0,1491,28.5
0,1821,29.6
0,1652,30.4
0,1926,30.9
0,1866,31.2
0,1750,31.3
0,1575,31.2
0,1330,30.7
0,1022,30.3
0,639,28.4
0,143,27.3
0,0,26.7
0,0,26.2
0,0,25.8
0,0,25.5
0,0,25.2
0,0,24.9
0,0,24.4
0,0,23.8
0,0,23.5
0,34,24
0,32,24.9
0,206,26
0,512,27.3
0,454,28.4
0,638,29
0,1789,29.3
0,1929,29.3
0,1884,29
0,1779,28.4
0,1349,27.4
0,1413,26.3
0,821,25.7
