number,value,datetime_start,datetime_complete,duration,params_daily_horizon,params_weight_fertilizer,params_weight_fertilizer_anomaly,params_weight_fruit_biomass,params_weight_height,params_weight_irrigation,params_weight_leaf_area,params_weight_water_anomaly,user_attrs_fruit_biomass,user_attrs_height,user_attrs_leaf_area,user_attrs_total_fertilizer,user_attrs_total_irrigation,state
30,-210.19844082003397,2026-01-08 14:45:21.210617,2026-01-08 14:45:51.917497,0 days 00:00:30.706880,12,0.001120375983132239,0.16075237442140186,1577.175089463746,826.3859032667608,1.161358751500371,581.7378748052831,0.8266796208761477,0.10018585767281316,1.6409872646194856,0.34746045557933375,1275.665854567621,2.452612485386001,COMPLETE
31,1015.2978076526159,2026-01-08 14:45:51.918644,2026-01-08 14:46:16.971009,0 days 00:00:25.052365,8,0.002656588899058561,0.061650819815212074,2317.5157348898006,118.42392387460899,0.844001840724751,712.9389337569824,0.26517870238818253,0.22062651375847434,2.672138433397256,0.5739761337992104,292.60283554242295,1.8808757426407128,COMPLETE
32,759.0205595575153,2026-01-08 14:46:16.972098,2026-01-08 14:46:39.136403,0 days 00:00:22.164305,7,0.00394972133483555,0.05626909141084602,2199.8032879615303,91.17104807349534,0.26345205922997617,660.2721374054804,3.2217839394426764,0.16895828317616232,2.0117834581448744,0.45194764787665814,233.4762902259098,8.535261853125268,COMPLETE
33,-150.1604211166774,2026-01-08 14:46:39.137697,2026-01-08 14:46:56.948053,0 days 00:00:17.810356,6,0.0002584591540714446,0.13879286143201727,3022.0905679932907,284.4712000766077,0.5667672000711559,879.840736517203,0.6987438008537047,0.1075670657648492,1.8682296666736127,0.38505255754691553,1249.2342133132538,4.989197501040893,COMPLETE
34,427.6212140114284,2026-01-08 14:46:56.949401,2026-01-08 14:47:19.684137,0 days 00:00:22.734736,8,0.0019650022703728395,0.004543333427377928,1408.4659438545523,182.19159283787238,0.04553167349901099,568.9879627123604,0.3215621027235642,0.14128833402631774,2.877202810342309,0.4462745185769216,497.88029525752313,46.032245486792604,COMPLETE
35,495.25553267684927,2026-01-08 14:47:19.685403,2026-01-08 14:47:32.986974,0 days 00:00:13.301571,4,0.0008405120095515457,0.008520891315898844,4497.460967460882,383.7929808942135,0.3909732015082271,764.8751076437347,1.9962901442780856,0.1839485565447163,2.653925361820821,0.5718696245220936,856.8926381333613,6.511410534616623,COMPLETE
36,856.0912598533629,2026-01-08 14:47:32.988301,2026-01-08 14:48:00.414148,0 days 00:00:27.425847,10,0.004998210454654656,0.40623299479382563,3507.873693099189,81.94510866343296,1.1646785186144268,459.4287431776037,9.333342679002667,0.18943946809562207,2.231314315347784,0.48084815502792283,264.3784273883441,3.0321865619438713,COMPLETE
37,-166.77358891177744,2026-01-08 14:48:00.415503,2026-01-08 14:48:18.271876,0 days 00:00:17.856373,7,0.00031166189033206466,0.040665681543195,111.50093098460366,268.79546438320585,1.7763781931622495,831.3248138704523,0.0011365544133512507,0.10419192266790918,1.794881701931319,0.3763995971384806,1258.8060354014192,0.6337559999357376,COMPLETE
38,278.64437083667906,2026-01-08 14:48:18.273096,2026-01-08 14:48:40.911969,0 days 00:00:22.638873,8,0.0009201207326662517,0.13262418663697126,2451.651124582155,17.65709241585786,0.17980941132106804,632.063316622939,0.26261575781377566,0.1564057804872228,2.4516583274713457,0.4906326776104527,946.4059892514871,13.781071039396858,COMPLETE
39,694.4455892468623,2026-01-08 14:48:40.913125,2026-01-08 14:49:02.122669,0 days 00:00:21.209544,7,0.01717572993583654,0.0800451775776227,6122.881539157066,467.07817223119935,0.8365047330010591,697.1785213142695,0.6272124384705163,0.14888314066641445,1.6031902102233115,0.37850143555610577,150.13541088296188,6.695355219461021,COMPLETE
