number,value,datetime_start,datetime_complete,duration,params_daily_horizon,params_weight_fertilizer,params_weight_fertilizer_anomaly,params_weight_fruit_biomass,params_weight_height,params_weight_irrigation,params_weight_leaf_area,params_weight_water_anomaly,user_attrs_revenue_extreme_drought_heat,user_attrs_revenue_moderate_dry,user_attrs_revenue_normal_1,user_attrs_revenue_summer_drought,user_attrs_revenue_wet_year,state
22,637.4139335136869,2026-01-08 16:02:32.947223,2026-01-08 16:04:36.992267,0 days 00:02:04.045044,9,0.9388173151446735,0.012432262453439789,3210.681089310845,96.9925532517093,4.405800484990467,109.9443494399529,0.004777734278144143,486.83803794751844,691.5864710387248,749.7480844762566,657.2220183452332,601.6750557607014,COMPLETE
23,637.6587641030304,2026-01-08 16:04:36.993472,2026-01-08 16:05:57.342314,0 days 00:01:20.348842,7,0.2060252804621078,0.07975990154345311,1465.6292396452375,205.77964127678996,4.141922799008325,241.99504989275349,0.0011596497528958201,485.9619101391074,690.3952703397072,752.1562728141994,655.98904881223,603.7913184099082,COMPLETE
24,637.5730851223375,2026-01-08 16:05:57.343669,2026-01-08 16:07:44.810468,0 days 00:01:47.466799,5,0.18563820784161406,0.09548116165287826,1713.1162738783169,457.3813771483497,4.0162704793885675,253.41043333183842,0.044201989710070104,485.5929847186161,690.1308454934667,752.1116533244348,655.794726845235,604.235215229935,COMPLETE
25,636.4180871627099,2026-01-08 16:07:44.812110,2026-01-08 16:09:48.000629,0 days 00:02:03.188519,6,0.3301366108341821,0.0021551414301336958,3500.5796134103957,261.320895185426,0.9243372751153156,255.36083698678416,0.015789932327408725,491.6651711166537,704.6000338057052,730.1689217370633,668.3277289248965,587.3285802292306,COMPLETE
26,207.5638873570063,2026-01-08 16:09:48.001883,2026-01-08 16:11:57.417935,0 days 00:02:09.416052,8,0.11961202654512815,0.046416634789315535,2849.1727581376467,426.4703827441888,0.001128105220635466,137.73574308867552,0.0022436376307025546,271.9613823979646,223.0651533230532,194.9592211357185,222.4798832128016,125.35379671549353,COMPLETE
27,638.9564488354696,2026-01-08 16:11:57.419161,2026-01-08 16:14:01.619110,0 days 00:02:04.199949,9,0.019861260080204828,0.24144444437961554,1536.4516428076668,181.89524753368534,4.030755839429336,440.6684437576068,0.41094567076224503,475.8269536349773,695.8255805594486,762.1990251361615,659.1748654070077,601.7558194397527,COMPLETE
28,657.2470745199702,2026-01-08 16:14:01.620279,2026-01-08 16:16:47.907133,0 days 00:02:46.286854,10,0.014270618374091635,0.27238232124511036,362.7219479106602,308.59205057617186,0.3318106091521801,439.57561508798045,0.42517415068487835,504.51307170206996,734.4262034090278,760.3255123226495,702.0586248518591,584.9119603142447,COMPLETE
29,655.5629670944973,2026-01-08 16:16:47.908417,2026-01-08 16:19:54.311685,0 days 00:03:06.403268,10,0.016964071774477698,0.2744350081667382,285.21539808158167,296.35467408351263,0.30955680809165737,450.25312431866803,0.4109988784856796,505.94864371208695,736.7687390561634,754.555368459952,700.3918522190088,580.1502320252755,COMPLETE
30,491.1946492683695,2026-01-08 16:19:54.312811,2026-01-08 16:22:45.301908,0 days 00:02:50.989097,12,0.0017294988855139088,0.6232654747862995,227.3469577368105,283.8148787078668,0.2817876489024562,638.2461477648336,0.07137032993341554,225.18125803055358,761.5398392569141,591.9926614941353,648.9735348473448,228.28595271290004,COMPLETE
31,661.3940012198409,2026-01-08 16:22:45.303261,2026-01-08 16:24:59.988130,0 days 00:02:14.684869,10,0.014632100619221862,0.18283380336907995,186.603505611465,392.9792373466768,0.5012042406192372,456.37176868642894,0.3802856707452984,500.0697732290645,728.5209528505369,778.4267131493285,694.5392996235801,605.4132672466947,COMPLETE
32,718.0382225044293,2026-01-08 16:24:59.989295,2026-01-08 16:27:54.711734,0 days 00:02:54.722439,10,0.006314884500161644,0.16083489366356635,219.0017983207063,386.60112978920904,0.14767945672934357,453.9789372510242,0.3405322750797313,571.0482097418784,823.8756890671164,819.7013137560576,787.830756965637,587.7351429914573,COMPLETE
33,623.9922654701143,2026-01-08 16:27:54.713031,2026-01-08 16:30:51.905736,0 days 00:02:57.192705,10,0.006896871578882047,0.6339915919342872,4315.995580232156,392.081570029009,0.15997226657687907,691.9462008951915,0.9104931931278334,815.6448454446866,716.0766892356542,544.6332950377636,720.2360958898752,323.3704017425912,COMPLETE
34,299.8488879836583,2026-01-08 16:30:51.907022,2026-01-08 16:33:41.787587,0 days 00:02:49.880565,12,0.0017763049936838783,1.6901693778833216,870.2671899906115,487.8284379034882,0.5742439094822693,368.4493522812529,0.28921363744609724,48.693700180730616,522.0166201853428,417.61917791188154,377.1034762902508,133.81146535008537,COMPLETE
35,671.2391014180439,2026-01-08 16:33:41.788842,2026-01-08 16:36:16.710827,0 days 00:02:34.921985,10,0.009039217989641392,0.048974847789497476,2635.979386113844,369.50433134623256,0.6095491849183562,318.3922517639456,0.07951824581794711,498.8579691145514,784.5428847268813,763.7948338114239,746.7849060470897,562.2149133902728,COMPLETE
36,750.7311914438353,2026-01-08 16:36:16.712025,2026-01-08 16:39:16.749064,0 days 00:03:00.037039,12,0.007322267434612121,0.1612691633275938,2885.08060007004,375.4919702496086,0.596400039124089,485.40691549444284,0.08403888118255168,571.4128994024404,890.696989526339,847.2590039066666,837.3580586649616,606.9290057187684,COMPLETE
37,457.27856197697963,2026-01-08 16:39:16.750283,2026-01-08 16:42:40.938428,0 days 00:03:24.188145,12,0.006975459182578835,0.044110782202918856,4291.34513867622,531.5446687416666,0.07114580080108825,308.47378404805534,0.07152719793091315,591.8928767198847,516.0310733851755,420.43790172646413,527.8384731578451,230.1924848955286,COMPLETE
38,-310.0463587634951,2026-01-08 16:42:40.940183,2026-01-08 16:46:26.766948,0 days 00:03:45.826765,13,0.0008233631584271202,0.13097956694534343,2735.0794819448633,619.8639838918511,0.16513611696981395,296.0167330708967,0.02725027460457271,-381.72601377909547,-236.74675957261513,-284.4894681822989,-248.97073461053526,-398.29881767293097,COMPLETE
39,-141.10484093595883,2026-01-08 16:46:26.768137,2026-01-08 16:50:00.245334,0 days 00:03:33.477197,13,0.002977180340137034,7.59150949185642,3764.7965229261954,376.7998126390835,1.1625408664602601,487.2663620349352,0.08827890595511524,-273.65066690992234,-70.01495453843665,-61.44146106008861,-95.90972694071229,-204.50739523063424,COMPLETE
40,-310.6363900778807,2026-01-08 16:50:00.246541,2026-01-08 16:52:46.805341,0 days 00:02:46.558800,9,0.00046804575664065437,1.3402627526607944,4691.551209954293,463.3943304507856,0.1969110770143588,376.67655525589555,0.14066166327264013,-375.1912753154981,-244.63947028429902,-282.0264356193186,-256.6557676231821,-394.6690015471056,COMPLETE
41,703.6001312506154,2026-01-08 16:52:46.806596,2026-01-08 16:55:28.459849,0 days 00:02:41.653253,10,0.007303910251405879,0.15183039539021742,1942.801366278492,396.54057409320455,0.575455462392338,485.1738089728221,0.24377324775511283,536.1559067375845,809.4266433530103,805.4245367143702,761.7133685015385,605.2802009465737,COMPLETE
42,729.4305648688644,2026-01-08 16:55:28.460964,2026-01-08 16:58:19.615232,0 days 00:02:51.154268,11,0.007416221612783178,0.06094711433118933,2853.2076761299486,344.09882888872954,0.4849775910099774,509.2494358123845,0.21816353698101967,576.0569992273288,875.372057364659,800.9173512214783,816.9903063860579,577.8161101447978,COMPLETE
43,160.6683975572218,2026-01-08 16:58:19.616506,2026-01-08 17:02:10.462378,0 days 00:03:50.845872,11,0.0026760395366176963,0.13223627239055763,3165.648782715853,429.0963521253358,0.10528863853058551,811.2735490051225,0.20647138220075867,229.6241169765476,298.25801607449716,90.1474614204368,293.3500469616397,-108.03765364701235,COMPLETE
44,802.0663386039807,2026-01-08 17:02:10.463715,2026-01-08 17:04:55.251824,0 days 00:02:44.788109,12,0.005464825114750026,0.4033102983221611,1940.646050578145,329.77254009074517,1.2852241454844602,614.6124545245441,1.5195713308960472,584.9743118006769,904.3228283524597,953.2863637631741,848.8582296045216,718.8899594990719,COMPLETE
45,834.3402737148729,2026-01-08 17:04:55.252944,2026-01-08 17:07:34.068852,0 days 00:02:38.815908,12,0.0048089162661440156,0.4497638279136364,1949.283467571648,322.86148555271956,1.4307210083920605,628.872868709983,1.881293256867135,604.4855487231025,925.1586149106768,1002.8723375264648,886.8437629408389,752.3411044732812,COMPLETE
46,820.4084709528255,2026-01-08 17:07:34.070141,2026-01-08 17:10:06.878294,0 days 00:02:32.808153,12,0.004677791739717172,0.4693805275618818,2096.5891210653876,234.39613194270504,1.5796698979905142,611.1633953181021,1.7585403206213353,592.4712844117037,914.9268201401512,981.4149046884247,879.3931437710742,733.8362017527731,COMPLETE
47,828.1688100149147,2026-01-08 17:10:06.879480,2026-01-08 17:12:44.555543,0 days 00:02:37.676063,12,0.00455515031153808,0.4581677722156808,2097.4168479523255,225.7137134383483,1.899207264115718,636.9905060099456,2.702748177620148,581.5420880887983,926.6216986609882,998.6654912653474,886.7337828262362,747.2809892332035,COMPLETE
48,651.1058843006516,2026-01-08 17:12:44.556816,2026-01-08 17:16:02.606577,0 days 00:03:18.049761,13,0.025785240748669953,0.4905924679703372,2310.175625379654,192.7944984161916,1.6257745635799266,749.485970425615,3.443728577451999,486.372239322097,725.3524281415446,765.5381089130196,686.4650973982966,591.8015477283009,COMPLETE
49,500.7822809202686,2026-01-08 17:16:02.607933,2026-01-08 17:19:08.053012,0 days 00:03:05.445079,12,0.004607716295566505,3.3512731785443237,7448.859877717601,258.03910683238456,2.362319312396466,611.5966944072173,1.6737528430220803,159.438391377294,592.028556019796,764.5498040381801,528.2015181036452,459.6931350624276,COMPLETE
