h,A,N,c,P,delayed_water,delayed_temperature,delayed_radiation,cumulative_water,cumulative_temperature,cumulative_radiation,cumulative_divergence_water,cumulative_divergence_temperature,cumulative_divergence_radiation,nuW,nuT,nuR,ah_hat,aA_hat,aN_hat,ac_hat,aP_hat,kh_hat,kA_hat,kN_hat,kc_hat,kP_hat
0.0010546894396543632,0.00022873762269889631,0.00769689653426041,0.4170036996526241,8.878341305377558e-05,0.0005128082726677961,0.710523388857873,29.968853161055936,0.002773814274750646,3.986399128063459,205.30529743098143,0.7124601240758807,0.7171127988539848,0.7066380199894574,0.11796345896907633,0.11632836006002957,0.1200419444766782,0.0011177367812171468,0.0011736236202780042,0.011,0.02,0.0011817056545260795,0.33532103436514404,0.07344030812492923,2.3634113090521587,2000.0,0.04258416369680175
0.0010558652498014402,0.0002290053945760793,0.007781749461488433,0.42542594128052524,8.888817180340914e-05,0.0005774257255329384,0.7874880807965134,31.70714262022383,0.0033512400002835845,4.773887208859972,237.01244005120526,0.7271500859582493,0.7322895273429336,0.7213026145874241,0.11287771009019948,0.11115067318680755,0.11487532791621162,0.0010848747979421236,0.00113911853783923,0.011,0.02,0.0011299765497762414,0.3254624393826371,0.07107857152093877,2.259953099552483,2000.0,0.04140762244322672
0.0010570076307670013,0.00022926556559722778,0.007867521592783764,0.4340182503623336,8.898845414345943e-05,0.0006455299263684729,0.8664346175170672,33.50913916519686,0.003996769926652057,5.64032182637704,270.52157921640213,0.7398564285019034,0.7455029617827917,0.7340638541996911,0.10865589841809543,0.10683081273111492,0.11056059220115716,0.0010570583541329927,0.0011099112718396425,0.011,0.02,0.0010867970335293976,0.3171175062398978,0.06908809031224351,2.173594067058795,2000.0,0.040411689426452416
0.00105812181014329,0.00022951932546928973,0.007954223615786115,0.44278405950569577,8.908500579163573e-05,0.0007172293093104972,0.9475379900819821,35.37436238966376,0.004713999235962554,6.587859816459022,305.8959416060659,0.750930969713011,0.7571063829567474,0.7452664013697513,0.10510526479687779,0.10317598578748685,0.10690665546356927,0.0010332239313554082,0.0010848851279231786,0.011,0.02,0.0010502475691329628,0.30996717940662244,0.06738974548041053,2.100495138265926,2000.0,0.039558683543035524
0.0010592119140661448,0.0002297676132484902,0.008041866241050664,0.45172687053986227,8.917840522183717e-05,0.0007926298370568641,1.0313753172196887,37.302089184831736,0.0055066290730194185,7.6192351336787105,343.19803079089763,0.7606437365885795,0.767370916987369,0.7551743268662438,0.10208686507203545,0.10004724536030023,0.10377574764390074,0.0010125900808776137,0.0010632195849214945,0.011,0.02,0.0010189444384743427,0.3037770242632841,0.06592562643216325,2.0378888769486854,2000.0,0.03882085288700344
0.0010602812593148944,0.00023001118380898986,0.008130460216836468,0.46085025590909473,8.926911031383978e-05,0.0008718345097701383,1.1183536850921243,39.29134352416679,0.006378463582789557,8.737588818770835,382.4893743150644,0.7692056657147661,0.776508313934058,0.7639936484743134,0.09949807346714368,0.0973419792124063,0.1010660570807704,0.0009945695646671423,0.0010442980429004995,0.011,0.02,0.0009918654156404597,0.2983708694001427,0.06465236602972319,1.9837308312809196,2000.0,0.03817729974729614
0.0010613325544550872,0.00023025065361463368,0.00822001634142354,0.47015786009401994,8.935748983717393e-05,0.0009549428621320364,1.2098957485702637,41.34088712249519,0.007333406444921593,9.947484567341098,423.8302614375596,0.7767840845326098,0.7846863342047913,0.7718876489790605,0.09726148034821276,0.0949828431023313,0.09870072896195668,0.000978712590106366,0.0010276482196116845,0.011,0.02,0.00096823942561121,0.29361377703190983,0.06353684883195715,1.9364788512224198,2000.0,0.03761198707384052
0.0010623680422089238,0.00023048653311708508,0.008310545473531028,0.4796534010614866,8.944384533237673e-05,0.0010420504508068308,1.3095052678784136,44.33949375066186,0.008375456895728424,11.256989835219512,468.1697551882215,0.7835135314117462,0.7920392696208249,0.7789828128225598,0.09531762012916899,0.09291057487928558,0.09662203690519791,0.0009646737152012536,0.0010129074009613162,0.011,0.02,0.0009474813451920564,0.28940211456037607,0.06255360609330013,1.8949626903841126,2000.0,0.03711253110752772
0.0010633896076907895,0.00023071925138692863,0.008402058544268027,0.4893406717434915,8.952842733293068e-05,0.0011332483347504941,1.41811384305324,48.36491640153257,0.009508705230478918,12.675103678272752,516.534671589754,0.789503482603239,0.7986758776649339,0.7853782409011997,0.093620074456062,0.09107903499354907,0.09478588978746452,0.000952183614986443,0.0009997927957357653,0.011,0.02,0.0009291397835012322,0.2856550844959329,0.061682748383539085,1.8582795670024643,2000.0,0.03666922614404352
0.0010643988573685516,0.0002309491740832641,0.008494566567253059,0.49922354154575505,8.961144703473947e-05,0.0012286225509711987,1.5368985297777604,52.98980346352939,0.010737327781450118,14.212002208050512,569.5244750532834,0.7948439765277145,0.8046851159674835,0.79115448198091,0.0921320937957982,0.08945179985273502,0.09315752086123508,0.0009410275435776085,0.000988078920756489,0.011,0.02,0.0009128585821942075,0.28230826307328255,0.06090843111875129,1.825717164388415,2000.0,0.03627431326769243
0.001065397175634389,0.00023117661632792068,0.008588080645895583,0.5093059578865335,8.969308460153418e-05,0.0013282535885030978,1.666697955183739,58.245813933846165,0.012065581369953216,15.878700163234251,627.7702889871296,0.7996097777883102,0.8101404191846985,0.7963775960652222,0.09082421595747452,0.08799975421192875,0.09170918068629409,0.000931032320335714,0.0009775839363524998,0.011,0.02,0.0008983532356134331,0.2793096961007142,0.06021788447833508,1.7967064712268663,2000.0,0.035921519343089625
0.0010663857678918755,0.00023140185251124677,0.008682611979780864,0.5195919477662714,8.977349541533866e-05,0.0014322158634971149,1.805392862353972,63.718614778260786,0.01349779723345033,17.684093025588222,691.4889037653903,0.8038635074687072,0.8151031721459734,0.8011037750707878,0.08967255487924952,0.08669929589115354,0.09041805345045055,0.000922055171246125,0.0009681579298084313,0.011,0.02,0.000885391527517784,0.2766165513738375,0.05960062193512551,1.7707830550355679,2000.0,0.03560567620253633
0.0010673656920277253,0.0002316251234544223,0.008778171869016903,0.5300856193687051,8.985281463283331e-05,0.0015405771984577596,1.951100179140613,69.71565233948726,0.015038374431908091,19.635193204728836,761.2045561048776,0.8076580289905009,0.8196252687930905,0.8053801295602305,0.08865754971028567,0.08553105040125025,0.08926548350844196,0.0009139780988457505,0.0009596770037880381,0.011,0.02,0.0008737831864400071,0.2741934296537252,0.059047991903332604,1.7475663728800142,2000.0,0.03532250786046148
0.0010683378840831276,0.00023184664225184382,0.008874771718786905,0.5407911636940446,8.993116084396281e-05,0.001619713286216423,2.1033887820590325,76.2969076978326,0.016658087718124513,21.738581986787867,837.5014638027102,0.8110441375537224,0.8237509330192058,0.8092462907573057,0.08776149635182325,0.08447895752040784,0.088236120328233,0.0009067028553989266,0.0009520379981688731,0.011,0.02,0.0008633710361701041,0.272010856619678,0.058552594983400506,1.726742072340208,2000.0,0.03506834392558666
0.0010693031787210759,0.00023206659892615646,0.008972423043544009,0.5517128562248677,9.000863895893387e-05,0.0017011080318821898,2.2621811516886092,83.39368550604902,0.018359195750006704,24.000763138476476,920.8951493087592,0.8140649007315724,0.8275181077483252,0.8127360387151272,0.08696976911111082,0.08352959128614944,0.0873171735981996,0.0009001468000424248,0.0009451541400445461,0.011,0.02,0.0008540238768863182,0.2700440400127274,0.058108236256234305,1.7080477537726364,2000.0,0.03484010375993004
0.0010702623253942957,0.00023228516410851583,0.009071137470651764,0.5628550586253792,9.008534247442514e-05,0.0017846981685912,2.4275779635341874,89.94754813171768,0.020143893918597906,26.428341102010663,1010.8426974404769,0.816757094798317,0.8309595387058545,0.8158810546270211,0.08627017957107962,0.08267164379355334,0.08649720619573883,0.0008942375129347385,0.0009389493885814755,0.011,0.02,0.0008456279453608222,0.26827125388042156,0.057709565512073645,1.6912558907216444,2000.0,0.03463511848758402
