Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
19069,2.717057278603465,0.5816905897375668,19.98359799686883,948.373248463326,0.1356258216443698
19070,2.717025237522213,0.5816857270931427,19.983509065947366,948.3789202248915,0.1356524576675551
19071,2.7169931843685378,0.5816808576545895,19.98342007927381,948.3845793510726,0.1356790899343721
19072,2.7169611191466223,0.5816759813915425,19.983331036837544,948.3902257536135,0.1357057184384186
19073,2.716929041860579,0.5816710982742401,19.983241938627053,948.3958593460438,0.1357323431733368
19074,2.716896952514471,0.5816662082735214,19.983152784630185,948.4014800436496,0.1357589641328132
19075,2.716864851112325,0.5816613113608219,19.98306357483433,948.4070877634498,0.1357855813105786
19076,2.716832737658135,0.581656407508167,19.98297430922648,948.4126824241764,0.1358121947004077
19077,2.716800612155865,0.5816514966881667,19.982884987793263,948.4182639462545,0.1358388042961191
19078,2.716768474609452,0.5816465788740086,19.982795610520977,948.4238322517808,0.1358654100915745
19079,2.7167363250228016,0.5816416540394511,19.98270617739556,948.4293872645086,0.1358920120806783
19080,2.716704163399794,0.5816367221588173,19.982616688402604,948.4349289098254,0.1359186102573776
19081,2.71667198974428,0.5816317832069882,19.98252714352737,948.4404571147358,0.1359452046156611
19082,2.716639804059988,0.5816268371593789,19.982437542753512,948.4459718078784,0.135971795149557
19083,2.716607606350572,0.581621883991941,19.98234788606368,948.4514729194896,0.1359983818531332
19084,2.7165753966196324,0.5816169236811591,19.982258173439845,948.456960381376,0.1360249647204978
19085,2.716543174870727,0.5816119562040467,19.98216840486345,948.46243412689,0.1360515437457985
19086,2.716510941107376,0.5816069815381403,19.98207858031548,948.4678940909116,0.136078118923223
19087,2.7164786953330657,0.5816019996614932,19.981988699776466,948.4733402098256,0.1361046902469978
19088,2.716446437551248,0.5815970105526694,19.981898763226543,948.4787724215042,0.1361312577113885
19089,2.7164141677653424,0.581592014190737,19.981808770645443,948.4841906652886,0.136157821310699
19090,2.716381885978734,0.5815870105552612,19.981718722012467,948.4895948819692,0.1361843810392711
19091,2.7163495921947747,0.5815819996262981,19.981628617306505,948.4949850137672,0.1362109368914842
19092,2.7163172864167087,0.5815769813843752,19.981538456505035,948.5003610043468,0.1362374888617527
19093,2.7162849686477086,0.5815719558104907,19.981448239584594,948.5057227987804,0.136264036944527
19094,2.7162526388908934,0.5815669228861108,19.98135796652103,948.5110703435246,0.1362905811342928
19095,2.716220297149337,0.5815618825931645,19.98126763728963,948.5164035863986,0.1363171214255716
19096,2.716187943426073,0.5815568349140384,19.98117725186516,948.5217224765634,0.1363436578129199
19097,2.716155577724095,0.5815517798315697,19.981086810221907,948.5270269645032,0.1363701902909291
19098,2.7161232000463595,0.5815467173290411,19.98099631233367,948.5323170020072,0.1363967188542249
19099,2.716090810395784,0.5815416473901737,19.98090575817378,948.537592542152,0.1364232434974668
19100,2.716058408775248,0.5815365699991212,19.98081514771509,948.5428535392824,0.1364497642153481
19101,2.716025995187593,0.5815314851404632,19.98072448092997,948.5480999489956,0.1364762810025949
19102,2.715993569635548,0.5815263927991859,19.980633757789303,948.5533317281512,0.1365027938539643
