Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
25318,2.968483467362057,0.5502022438447898,19.688271726247432,776.269101320986,0.20683003022333166
25319,2.9684836518093336,0.550202267649741,19.688273052693535,776.2690574581709,0.20683109743687242
25320,2.968483850667738,0.5502022936966117,19.688274539060906,776.2690097100544,0.2068321644146926
25321,2.9684840639249277,0.5502023219833735,19.68827618519287,776.2689580801296,0.2068332311569371
25322,2.9684842915620977,0.5502023525069921,19.688277990861327,776.2689025736234,0.20683429766362668
25323,2.9684845335604626,0.5502023852644364,19.688279955838446,776.2688431957579,0.2068353639347821
25324,2.9684847899012565,0.5502024202526787,19.68828207989667,776.2687799517491,0.20683642997042415
25325,2.9684850605657336,0.5502024574686947,19.68828436280871,776.2687128468077,0.2068374957705736
25326,2.968485345535167,0.5502024969094631,19.688286804347545,776.2686418861387,0.20683856133525125
25327,2.96848564479085,0.5502025385719661,19.688289404286426,776.2685670749415,0.20683962666447792
25328,2.968485958314095,0.5502025824531892,19.688292162398866,776.2684884184102,0.2068406917582744
25329,2.968486286086235,0.5502026285501211,19.688295078458655,776.2684059217332,0.20684175661666157
25330,2.968486628088622,0.550202676859754,19.688298152239845,776.2683195900933,0.20684282123966025
25331,2.968486984308166,0.5502027273799455,19.688301383578008,776.2682294271812,0.20684388562739742
25332,2.9684873547262507,0.5502027801076929,19.688304772247637,776.2681354381708,0.20684494977989387
25333,2.968487739324279,0.5502028350399969,19.6883083180235,776.2680376282306,0.20684601369717037
25334,2.9684881380836727,0.5502028921738614,19.688312020680623,776.2679360025234,0.2068470773792477
25335,2.9684885509858745,0.5502029515062937,19.68831587999431,776.2678305662065,0.2068481408261467
25336,2.9684889780123456,0.5502030130343042,19.688319895740126,776.2677213244318,0.20684920403788812
25337,2.968489419144566,0.5502030767549065,19.688324067693898,776.2676082823457,0.20685026701449283
25338,2.9684898743640367,0.5502031426651177,19.68832839563172,776.267491445089,0.20685132975598164
25339,2.968490343652277,0.5502032107619579,19.68833287932996,776.2673708177971,0.2068523922623754
25340,2.9684908269908252,0.5502032810424506,19.688337518565238,776.2672464055997,0.20685345453369497
25341,2.9684913243667683,0.5502033535044834,19.688342313175564,776.267118212138,0.20685451657006715
25342,2.9684918357616756,0.5502034281450847,19.688347262938,776.2669862425331,0.2068555783715127
25343,2.968492361157136,0.5502035049612867,19.688352367629868,776.2668505019004,0.20685663993805242
25344,2.9684929005347587,0.5502035839501244,19.688357627028758,776.2667109953503,0.20685770126970712
25345,2.9684934538761705,0.5502036651086363,19.68836304091252,776.2665677279873,0.2068587623664976
